Date,Time,Home Id,Away Id
20160419,2200,459,481
20160419,2200,461,467
20160420,2000,448,240
20160420,2000,110832,1853
20160420,2000,573,480
20160420,2200,452,450
20160420,2200,449,472
20160423,1800,241,459
20160423,1800,1860,461
20160423,2000,480,243
20160423,2000,467,242
20160423,2200,483,457
20160424,1700,240,573
20160424,1700,1853,448
20160424,1700,450,110832
20160424,1900,481,449
20160424,2100,472,452
20160430,1800,242,1860
20160430,1800,449,241
20160430,2000,457,243
20160430,2000,459,467
20160430,2200,461,483
20160501,1700,448,450
20160501,1700,240,480
20160501,1700,110832,472
20160501,1900,573,1853
20160501,2100,452,481
20160507,1900,241,452
20160507,1900,1860,459
20160507,1900,1853,240
20160507,1900,450,573
20160507,1900,243,461
20160507,1900,457,480
20160507,1900,467,449
20160507,1900,481,110832
20160507,1900,472,448
20160507,1900,483,242
20160515,1830,448,481
20160515,1830,240,450
20160515,1830,110832,241
20160515,1830,573,472
20160515,1830,480,1853
20160515,1830,242,243
20160515,1830,452,467
20160515,1830,449,1860
20160515,1830,459,483
20160515,1830,461,457
